Country,iso3,Year,SPAR_Overall,C.1.1,C.1.2,C.1,C.2.1,C.2.2,C.2.3,C.2,C.3.1,C.3.2,C.3,C.4.1,C.4.2,C.4.3,C.4.4,C.4.5,C.4,C.5.1,C.5.2,C.5,C.6.1,C.6.2,C.6,C.7.1,C.7.2,C.7.3,C.7,C.8.1,C.8.2,C.8.3,C.8,C.9.1,C.9.2,C.9.3,C.9,C.10.1,C.10.2,C.10.3,C.10,C.11.1,C.11.2,C.11.3,C.11,C.12.1,C.12,C.13.1,C.13,C.14.1,C.14,C.15.1,C.15
Argentina,ARG,2024,59.0,80.0,60.0,70.0,40.0,60.0,60.0,53.0,20.0,40.0,30.0,100.0,20.0,60.0,100.0,100.0,76.0,80.0,80.0,80.0,60.0,20.0,40.0,20.0,20.0,40.0,27.0,80.0,60.0,60.0,67.0,60.0,60.0,40.0,53.0,60.0,80.0,40.0,60.0,80.0,80.0,60.0,73.0,60.0,60.0,80.0,80.0,60.0,60.0,60.0,60.0
Bolivia,BOL,2024,46.0,40.0,60.0,50.0,60.0,80.0,80.0,73.0,40.0,60.0,50.0,40.0,20.0,40.0,80.0,60.0,48.0,60.0,60.0,60.0,60.0,20.0,40.0,40.0,60.0,40.0,47.0,80.0,80.0,80.0,80.0,20.0,40.0,40.0,33.0,20.0,40.0,40.0,33.0,60.0,60.0,60.0,60.0,40.0,40.0,20.0,20.0,40.0,40.0,20.0,20.0
Brazil,BRA,2024,65.0,40.0,60.0,50.0,80.0,40.0,40.0,53.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,68.0,80.0,80.0,80.0,60.0,80.0,70.0,80.0,80.0,80.0,80.0,80.0,40.0,40.0,53.0,80.0,80.0,80.0,80.0,40.0,80.0,60.0,60.0,60.0,60.0,80.0,67.0,40.0,40.0,40.0,40.0,100.0,100.0,80.0,80.0
Chile,CHL,2024,79.0,100.0,40.0,70.0,80.0,100.0,100.0,93.0,40.0,40.0,40.0,100.0,60.0,80.0,100.0,100.0,88.0,80.0,100.0,90.0,80.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,40.0,80.0,73.0,100.0,100.0,80.0,93.0,80.0,80.0,80.0,80.0,100.0,80.0,100.0,93.0,60.0,60.0,40.0,40.0,80.0,80.0,100.0,100.0
Colombia,COL,2024,68.0,80.0,40.0,60.0,60.0,80.0,80.0,73.0,60.0,80.0,70.0,60.0,40.0,80.0,80.0,80.0,68.0,100.0,100.0,100.0,60.0,20.0,40.0,40.0,80.0,60.0,60.0,80.0,60.0,40.0,60.0,60.0,80.0,80.0,73.0,40.0,60.0,60.0,53.0,100.0,100.0,100.0,100.0,60.0,60.0,80.0,80.0,60.0,60.0,60.0,60.0
Costa Rica,CRI,2024,66.0,20.0,40.0,30.0,20.0,80.0,80.0,60.0,80.0,60.0,70.0,80.0,80.0,60.0,100.0,100.0,84.0,80.0,80.0,80.0,60.0,80.0,70.0,60.0,80.0,80.0,73.0,80.0,80.0,80.0,80.0,60.0,20.0,40.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0
Cuba,CUB,2024,90.0,100.0,100.0,100.0,80.0,100.0,100.0,93.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,84.0,100.0,100.0,100.0,80.0,100.0,90.0,100.0,80.0,100.0,93.0,100.0,80.0,100.0,93.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,87.0,80.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,60.0
Dominican Republic,DOM,2024,60.0,100.0,20.0,60.0,60.0,60.0,60.0,60.0,40.0,60.0,50.0,60.0,40.0,40.0,60.0,20.0,44.0,100.0,80.0,90.0,40.0,20.0,30.0,60.0,80.0,80.0,73.0,60.0,100.0,100.0,87.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,40.0,100.0,20.0,53.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,40.0
Ecuador,ECU,2024,54.0,60.0,60.0,60.0,40.0,60.0,40.0,47.0,20.0,20.0,20.0,40.0,40.0,40.0,60.0,60.0,48.0,60.0,60.0,60.0,40.0,20.0,30.0,40.0,20.0,20.0,27.0,80.0,100.0,80.0,87.0,40.0,60.0,40.0,47.0,60.0,40.0,60.0,53.0,80.0,100.0,100.0,93.0,40.0,40.0,20.0,20.0,80.0,80.0,100.0,100.0
El Salvador,SLV,2024,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,90.0,80.0,100.0,90.0,100.0,80.0,80.0,87.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,93.0,100.0,100.0,80.0,80.0,80.0,80.0,100.0,100.0
Guatemala,GTM,2024,37.0,40.0,20.0,30.0,40.0,80.0,40.0,53.0,40.0,40.0,40.0,40.0,20.0,40.0,60.0,60.0,44.0,40.0,40.0,40.0,40.0,20.0,30.0,80.0,80.0,60.0,73.0,40.0,20.0,40.0,33.0,20.0,20.0,20.0,20.0,60.0,40.0,40.0,47.0,20.0,40.0,20.0,27.0,40.0,40.0,20.0,20.0,40.0,40.0,20.0,20.0
Haiti,HTI,2024,54.0,20.0,60.0,40.0,40.0,60.0,60.0,53.0,40.0,60.0,50.0,100.0,80.0,80.0,80.0,100.0,88.0,100.0,100.0,100.0,100.0,80.0,90.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,73.0,40.0,60.0,20.0,40.0,60.0,60.0,60.0,60.0,20.0,20.0,20.0,20.0,80.0,80.0,40.0,40.0,0.0,0.0,0.0,0.0
Honduras,HND,2024,54.0,60.0,20.0,40.0,80.0,80.0,80.0,80.0,40.0,40.0,40.0,80.0,80.0,60.0,80.0,100.0,80.0,80.0,80.0,80.0,40.0,20.0,30.0,40.0,20.0,40.0,33.0,60.0,20.0,40.0,40.0,20.0,20.0,40.0,27.0,80.0,80.0,60.0,73.0,60.0,40.0,20.0,40.0,80.0,80.0,80.0,80.0,60.0,60.0,20.0,20.0
Mexico,MEX,2024,79.0,60.0,60.0,60.0,100.0,80.0,80.0,87.0,60.0,20.0,40.0,100.0,80.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,80.0,80.0,80.0,60.0,100.0,100.0,87.0,100.0,100.0,80.0,93.0,60.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,87.0,100.0,100.0,80.0,80.0,40.0,40.0,80.0,80.0
Nicaragua,NIC,2024,62.0,60.0,20.0,40.0,60.0,60.0,60.0,60.0,20.0,80.0,50.0,80.0,40.0,40.0,60.0,80.0,60.0,60.0,60.0,60.0,80.0,80.0,80.0,60.0,60.0,80.0,67.0,60.0,60.0,80.0,67.0,60.0,40.0,100.0,67.0,60.0,80.0,80.0,73.0,40.0,60.0,60.0,53.0,80.0,80.0,60.0,60.0,60.0,60.0,60.0,60.0
Panama,PAN,2024,68.0,40.0,100.0,70.0,60.0,80.0,40.0,60.0,20.0,60.0,40.0,80.0,80.0,60.0,80.0,80.0,76.0,100.0,100.0,100.0,60.0,40.0,50.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,73.0,40.0,100.0,40.0,60.0,40.0,80.0,80.0,67.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,40.0,40.0,60.0,60.0
Paraguay,PRY,2024,63.0,20.0,40.0,30.0,80.0,80.0,20.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0,68.0,80.0,80.0,80.0,60.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,40.0,53.0,20.0,60.0,60.0,47.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Peru,PER,2024,40.0,20.0,20.0,20.0,60.0,40.0,20.0,40.0,40.0,60.0,50.0,60.0,40.0,60.0,80.0,80.0,64.0,40.0,20.0,30.0,20.0,20.0,20.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,20.0,60.0,20.0,33.0,20.0,40.0,20.0,27.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,40.0,40.0,60.0,60.0
Uruguay,URY,2024,76.0,60.0,80.0,70.0,60.0,80.0,60.0,67.0,80.0,80.0,80.0,60.0,40.0,60.0,80.0,80.0,64.0,100.0,80.0,90.0,80.0,60.0,70.0,100.0,80.0,100.0,93.0,100.0,100.0,80.0,93.0,80.0,80.0,80.0,80.0,100.0,100.0,80.0,93.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,60.0,60.0,60.0,60.0
Venezuela,VEN,2024,75.0,60.0,100.0,80.0,60.0,80.0,80.0,73.0,40.0,60.0,50.0,100.0,100.0,40.0,80.0,100.0,84.0,80.0,80.0,80.0,40.0,40.0,40.0,80.0,80.0,100.0,87.0,100.0,100.0,80.0,93.0,60.0,40.0,40.0,47.0,60.0,80.0,80.0,73.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
